Long,Lat,OGF_ID,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,OBJECTID
-79.545715331233,43.6019253685161,127910537,LifeLabs,440 Brown's Line,,,Toronto,M8W3T9,756139
-79.517691921984,43.5982593691755,127910552,LifeLabs,3170 Lake Shore Boulevard West,,,Toronto,M8V1L6,756140
-79.5603365364887,43.6087178690285,127910555,LifeLabs,190 Sherway Drive,,,Toronto,M9C5N2,756143
-79.44055020271459,43.658625383362796,127910569,LifeLabs,1221 Bloor Street West,,,Toronto,L4Y2N8,756157
-79.54506483932892,43.6958712850292,127910781,Alpha Laboratories Incorporated,245 Dixon Road,,,Toronto,M9P2M1,756171
-79.5486653337569,43.619890271534004,127910782,LifeLabs,85 The East Mall,,,Toronto,M9B3Z9,756172
-79.5620426370928,43.609406569069904,127910797,Trillium Health Partners - Queensway Health Centre,150 Sherway Drive,,,Toronto,M9C1A5,756187
-79.5975210589926,43.7289985883789,127910798,William Osler Health System - Etobicoke General Hospital,101 Humber College Boulevard,,,Toronto,M9V1R8,756188
-79.38966968656409,43.6595008858778,127910800,Ontario Agency for Health Protection and Promotion - Toronto Public Health Laboratory,661 University Avenue,,,Toronto,M5G1M1,756190
-79.32665476914991,43.6901247941739,127911560,LifeLabs,840 Coxwell Avenue,,,Toronto,M4C3C4,756371
-79.5154212254838,43.6461676776948,127911561,LifeLabs,3101 Bloor Street West,,,Toronto,M8X2W2,756372
-79.3460275767131,43.7057952960259,127911562,Alpha Laboratories Incorporated,45 Overlea Boulevard,,,Toronto,M4H1C3,756373
-79.4422153048303,43.6765986864394,127911563,LifeLabs,1615 Dufferin Street,,,Toronto,M6H4H4,756374
-79.3817438830806,43.6486361843371,127911564,Alpha Laboratories Incorporated,100 King Street West,,,Toronto,M5X1A4,756375
-79.42707510210249,43.700410691319505,127911565,LifeLabs,901 Eglinton Avenue West,,,Toronto,M6C2C1,756376
-79.3070832707606,43.7793012107141,127911566,LifeLabs,3410 Sheppard Avenue East,,,Toronto,M1T3K4,756377
-79.4044009935858,43.685870889822596,127911567,LifeLabs,217 St. Clair Avenue West,,,Toronto,M4V1R3,756378
-79.4116609941123,43.66556278592179,127911568,LifeLabs,800 Bathurst Street,,,Toronto,M5R3M8,756379
-79.3702708794113,43.6485275848496,127911569,St. Michael's Hospital - St. Lawrence Health Centre,140 The Esplanade,,,Toronto,M5A4P5,756380
-79.38746808613492,43.662605886525,127911570,In-Common Laboratories,60 Grosvenor Street,,,Toronto,M5S1B6,756381
-79.3741717820798,43.664727487514,127911571,St. Michael's Hospital Health Centre at 410,410 Sherbourne Street,1st Floor,,Toronto,M4X1K2,756382
-79.3839956849259,43.66145338648371,127911573,LifeLabs,14 College Street,,,Toronto,M5G1K2,756384
-79.3756624827433,43.66686418782,127911574,In-Common Laboratories,160 Wellesley Street East,"Unit 226, Jones Building",,Toronto,M4Y1J3,756385
-79.4033927907612,43.657452784881706,127911575,LifeLabs,340 College Street,,,Toronto,M5T3A9,756386
-79.40020759064859,43.66771628683129,127911576,LifeLabs,170 St. George Street,,,Toronto,M5R2M8,756387
-79.3768695835524,43.67168218860989,127911577,LifeLabs,600 Sherbourne Street,,,Toronto,M4K1W1,756388
-79.395838989338,43.668658687199404,127911578,LifeLabs,208 Bloor Street West,,,Toronto,M5S3B4,756389
-79.3768404818848,43.6528269853004,127911579,LifeLabs,55 Queen Street East,,,Toronto,M5C1R6,756390
-79.4834832155702,43.64918187970979,127911580,LifeLabs,2425 Bloor Street West,,,Toronto,M6S4W4,756391
-79.3795968878721,43.7108329953523,127911581,LifeLabs,586 Eglinton Avenue East,,,Toronto,M4P1P2,756392
-79.30196876105491,43.6876844948882,127911582,Dynacare,294 Main Street,,,Toronto,M4C4X5,756393
-79.4461627028452,43.6397902797951,127911584,Dynacare,27 Roncesvalles Avenue,,,Toronto,M6R2K2,756394
-79.4181860960344,43.6637561853018,127911585,Dynacare,726 Bloor Street West,,,Toronto,M6G1L4,756395
-79.38605858549991,43.66049758622021,127911586,Dynacare,790 Bay Street,,,Toronto,M5G1N8,756396
-79.39873739391729,43.7101153943377,127911587,Dynacare,2401 Yonge Street,,,Toronto,M4P2E7,756397
-79.3983794887383,43.652635484268295,127911588,Dynacare,280 Spadina Avenue,,,Toronto,M5T3A5,756398
-79.3936281901632,43.6860341903514,127911589,LifeLabs,1366 Yonge Street,,,Toronto,M4T3A7,756399
-79.38777438645,43.6650755869444,127911590,LifeLabs,984 Bay Street,,,Toronto,M5S2A5,756400
-79.4522077062812,43.65691678252129,127911591,LifeLabs,2340 Dundas Street West,,,Toronto,M6P4A9,756401
-79.3236266675229,43.6826137929956,127911592,LifeLabs,688 Coxwell Avenue,,,Toronto,M4C3B7,756402
-79.41934599810959,43.683104488643295,127911593,LifeLabs,526 St. Clair Avenue West,,,Toronto,M6C1A2,756403
-79.4279276034553,43.7126459934249,127911594,LifeLabs,2797 Bathurst Street,,,Toronto,M6B4B9,756404
-79.3853587850697,43.6581446858395,127911595,LifeLabs,700 Bay Street,,,Toronto,M5G1Z6,756405
